;NU_INSCRICAO;NU_ANO;TP_ESCOLA;CO_ESCOLA;CO_MUNICIPIO_ESC;NO_MUNICIPIO_ESC;TP_DEPENDENCIA_ADM_ESC;TP_LOCALIZACAO_ESC;NU_NOTA_CN;NU_NOTA_CH;NU_NOTA_LC;NU_NOTA_MT;NU_NOTA_REDACAO
13830;180007300171;2018;2;31124656.0;3144102.0;Muzambinho;2.0;1.0;406.5;457.8;413.0;490.0;560.0
13831;180007257959;2018;2;35032037.0;3541406.0;Presidente Prudente;2.0;2.0;;570.1;528.9;;500.0
13832;180007295349;2018;2;13038702.0;1300508.0;Barreirinha;2.0;2.0;410.3;403.7;434.9;441.6;540.0
13833;180008068635;2018;2;27226328.0;2702306.0;Coruripe;2.0;2.0;468.5;479.0;457.2;445.4;600.0
13834;180007300192;2018;2;26213800.0;2611101.0;Petrolina;2.0;2.0;;590.4;584.0;;600.0
13835;180008528571;2018;1;43246400.0;4317806.0;Santo Augusto;1.0;2.0;;401.0;405.8;;320.0
13836;180008527931;2018;2;21008388.0;2107506.0;Paço do Lumiar;2.0;2.0;505.0;598.9;549.7;561.2;640.0
13837;180008096000;2018;2;27040607.0;2707701.0;Rio Largo;2.0;2.0;395.8;471.3;452.9;477.3;600.0
13838;180007300205;2018;2;41375076.0;4101804.0;Araucária;2.0;2.0;457.5;587.1;443.0;679.7;360.0
13839;180008527936;2018;4;17039355.0;1708205.0;Formoso do Araguaia;4.0;2.0;555.4;593.5;545.7;584.0;660.0
13840;180008516639;2018;2;33166382.0;3305554.0;Seropédica;2.0;2.0;;;;;
13841;180008527362;2018;2;26178656.0;2610202.0;Panelas;2.0;2.0;427.0;463.9;496.1;510.1;720.0
13842;180008068660;2018;1;29339227.0;2911709.0;Guanambi;1.0;2.0;608.9;709.7;622.9;719.9;940.0
13843;180007304960;2018;2;23545453.0;2302305.0;Bela Cruz;2.0;2.0;407.2;446.1;391.9;398.0;200.0
13844;180008530164;2018;2;16011201.0;1600303.0;Macapá;2.0;2.0;;482.2;455.8;;560.0
13845;180008534215;2018;2;41111516.0;4120606.0;Prudentópolis;2.0;2.0;457.8;544.7;371.5;554.3;300.0
13846;180007304968;2018;2;29365430.0;2930501.0;Serrinha;2.0;2.0;367.3;435.6;470.6;503.7;280.0
13847;180008527375;2018;1;53006178.0;5300108.0;Brasília;1.0;2.0;553.2;639.4;570.2;469.8;620.0
13848;180008527380;2018;2;22077456.0;2207603.0;Parnaguá;2.0;2.0;434.8;449.8;404.4;407.3;240.0
13849;180008101326;2018;2;26108925.0;2607901.0;Jaboatão dos Guararapes;2.0;2.0;492.1;597.3;460.5;536.7;340.0
13850;180008526228;2018;2;53006054.0;5300108.0;Brasília;2.0;2.0;376.9;541.3;366.6;520.4;560.0
13851;180008085031;2018;2;31346160.0;3162401.0;São João da Ponte;2.0;2.0;;;;;
13852;180008061478;2018;2;27014002.0;2706307.0;Palmeira dos Índios;2.0;2.0;;502.5;519.9;;560.0
13853;180008526232;2018;1;;;;;;540.6;654.8;641.0;723.0;860.0
13854;180008099347;2018;2;23462337.0;2301000.0;Aquiraz;2.0;2.0;420.5;590.3;452.3;484.7;380.0
13855;180008534238;2018;2;51067846.0;5107065.0;Querência;2.0;2.0;442.3;526.1;465.5;501.4;500.0
13856;180008495026;2018;2;27040348.0;2707701.0;Rio Largo;2.0;2.0;398.8;601.7;578.1;481.1;340.0
13857;180008527175;2018;1;;;;;;493.5;609.5;509.4;527.6;480.0
13858;180008528306;2018;4;31350133.0;3171071.0;Veredinha;4.0;2.0;393.0;524.8;543.2;435.0;360.0
13859;180008531939;2018;2;28026543.0;2805604.0;Porto da Folha;2.0;2.0;411.9;553.6;426.8;451.1;500.0
13860;180008102677;2018;2;21008388.0;2107506.0;Paço do Lumiar;2.0;2.0;565.6;707.7;672.0;640.2;540.0
13861;180008530631;2018;1;42131154.0;4215653.0;Santa Rosa do Sul;1.0;2.0;483.6;469.6;495.5;423.8;320.0
13862;180007261654;2018;2;43002943.0;4306601.0;Dom Pedrito;2.0;2.0;434.6;581.8;432.5;439.4;340.0
13863;180007254221;2018;2;29453100.0;2915403.0;Itaju do Colônia;2.0;2.0;431.6;487.1;501.5;397.9;360.0
13864;180007253582;2018;2;33043132.0;3305802.0;Teresópolis;2.0;2.0;550.9;619.9;586.3;661.0;520.0
13865;180007264626;2018;1;42131162.0;4214805.0;Rio do Sul;1.0;2.0;638.2;695.6;635.7;747.9;700.0
13866;180008529583;2018;1;26094789.0;2616407.0;Vitória de Santo Antão;1.0;2.0;562.3;600.4;563.5;520.8;800.0
13867;180008531322;2018;1;31170674.0;3139003.0;Machado;1.0;2.0;642.5;619.3;610.8;744.3;800.0
13868;180008529585;2018;2;42081980.0;4216305.0;São João Batista;2.0;2.0;445.0;471.2;427.9;558.0;560.0
13869;180008105931;2018;2;33011095.0;3301009.0;Campos dos Goytacazes;2.0;2.0;;;;;
13870;180007285198;2018;2;35035336.0;3522406.0;Itapeva;2.0;2.0;499.3;622.9;465.8;402.2;560.0
13871;180007261689;2018;2;33022569.0;3303401.0;Nova Friburgo;2.0;2.0;445.7;631.0;530.3;553.0;360.0
13872;180008102708;2018;2;25018272.0;2516201.0;Sousa;2.0;2.0;408.7;538.2;446.7;450.9;260.0
13873;180008494276;2018;2;51050161.0;5105200.0;Juscimeira;2.0;2.0;495.0;512.3;487.4;599.4;520.0
13874;180008533841;2018;2;29456495.0;2910503.0;Entre Rios;2.0;2.0;427.2;436.4;490.3;479.0;400.0
13875;180008534669;2018;2;28023331.0;2806206.0;Salgado;2.0;2.0;579.7;668.6;628.6;760.2;500.0
13876;180007253741;2018;2;41136128.0;4119509.0;Piraquara;2.0;2.0;398.8;568.7;437.8;445.8;540.0
13877;180008534671;2018;3;22041907.0;2200509.0;Amarante;3.0;2.0;379.3;540.3;521.2;448.0;300.0
13878;180008501688;2018;1;51174804.0;5102637.0;Campo Novo do Parecis;1.0;2.0;522.8;579.2;560.9;546.8;500.0
13879;180008485153;2018;2;35033595.0;3556602.0;Vera Cruz;2.0;2.0;506.9;487.1;481.7;479.2;480.0
13880;180008533992;2018;2;21042357.0;2107605.0;Palmeirândia;2.0;2.0;371.3;433.0;458.5;399.6;340.0
13881;180008537297;2018;2;29417287.0;2922300.0;Muritiba;2.0;2.0;415.3;532.2;458.4;487.1;380.0
13882;180008078653;2018;2;29113881.0;2924207.0;Pedro Alexandre;2.0;2.0;578.5;590.5;479.7;544.7;540.0
13883;180008487487;2018;1;26138328.0;2600104.0;Afogados da Ingazeira;1.0;2.0;391.0;552.1;516.4;403.3;320.0
13884;180008536255;2018;2;33043132.0;3305802.0;Teresópolis;2.0;2.0;609.6;651.6;603.0;549.7;880.0
13885;180007271655;2018;2;27226328.0;2702306.0;Coruripe;2.0;2.0;399.3;479.2;468.8;454.6;560.0
13886;180007260868;2018;1;31166553.0;3170206.0;Uberlândia;1.0;2.0;488.1;574.7;534.0;649.4;780.0
13887;180008486740;2018;2;13101030.0;1301852.0;Iranduba;2.0;2.0;443.9;555.0;479.1;556.4;420.0
13888;180008108136;2018;2;33043132.0;3305802.0;Teresópolis;2.0;2.0;496.4;555.3;518.3;497.7;780.0
13889;180008078671;2018;1;21206341.0;2103307.0;Codó;1.0;2.0;442.7;633.1;584.3;553.7;740.0
13890;180008056078;2018;2;51067846.0;5107065.0;Querência;2.0;2.0;511.5;471.3;448.4;411.1;580.0
13891;180008535029;2018;2;21009716.0;2111201.0;São José de Ribamar;2.0;2.0;431.6;442.0;457.1;474.0;240.0
13892;180007255422;2018;2;15168700.0;1506195.0;Rurópolis;2.0;2.0;491.0;408.3;412.0;527.4;840.0
13893;180007274992;2018;2;33011095.0;3301009.0;Campos dos Goytacazes;2.0;2.0;;;;;
13894;180008056094;2018;2;32078625.0;3204500.0;Santa Leopoldina;2.0;2.0;412.8;446.4;384.7;503.9;300.0
13895;180008489742;2018;2;51048736.0;5107008.0;Poxoréu;2.0;2.0;519.3;440.5;451.6;499.7;580.0
13896;180007275012;2018;1;31170674.0;3139003.0;Machado;1.0;2.0;567.5;573.2;526.7;556.7;540.0
13897;180008095082;2018;2;23545453.0;2302305.0;Bela Cruz;2.0;2.0;374.9;516.0;413.3;524.8;340.0
13898;180008059199;2018;1;33439745.0;3300704.0;Cabo Frio;1.0;2.0;496.3;703.4;664.0;598.0;820.0
13899;180008484880;2018;1;23162678.0;2304202.0;Crato;1.0;2.0;547.9;513.8;587.2;581.0;640.0
13900;180008095091;2018;1;24084328.0;2404705.0;Ipanguaçu;1.0;2.0;540.9;634.6;584.3;743.8;620.0
13901;180008059209;2018;2;21022607.0;2111300.0;São Luís;2.0;2.0;455.2;540.6;543.7;423.3;360.0
13902;180008486143;2018;2;23462337.0;2301000.0;Aquiraz;2.0;2.0;;;;;
13903;180008486155;2018;2;33050759.0;3301702.0;Duque de Caxias;2.0;2.0;;;;;
13904;180008059422;2018;2;29139325.0;2908408.0;Conceição do Coité;2.0;2.0;454.4;647.5;593.7;551.9;400.0
13905;180007281630;2018;2;41111427.0;4120606.0;Prudentópolis;2.0;2.0;;;;;
13906;180008487081;2018;2;21042357.0;2107605.0;Palmeirândia;2.0;2.0;421.1;483.7;469.2;406.7;320.0
13907;180007270655;2018;2;26043505.0;2614808.0;Tacaratu;2.0;2.0;448.3;422.3;390.8;476.1;300.0
13908;180008059322;2018;2;29223016.0;2901007.0;Amargosa;2.0;2.0;500.6;474.9;521.4;418.9;540.0
13909;180008059325;2018;2;21009686.0;2111201.0;São José de Ribamar;2.0;2.0;443.2;510.7;416.5;442.8;480.0
13910;180007258772;2018;1;50082850.0;5006606.0;Ponta Porã;1.0;2.0;442.5;627.5;606.2;711.1;880.0
